year,count
1995,1
1996,5
1997,35
1998,22
1999,13
2000,10
2001,9
2002,5
2003,11
2004,11
2005,5
2006,11
2007,10
2008,6
2009,15
2010,5
2011,5
2012,4
2013,10
2014,5
2015,1
